;hour;nanmean_demand_bikes;nanmedian_demand_bikes;nanstd_demand_bikes;count_demand_bikes;nanmean_demand_locks;nanmedian_demand_locks;nanstd_demand_locks;count_demand_locks;station_id;capacity;probability_pst;fill_deg_pst;opt_no_bikes;valid_date
519;23;0.0;0.0;0.0;27;0.0;0.0;0.0;27;33;25;0.0;48.0;12;2019-08-01 08:17:34.639365
520;0;0.0;0.0;0.0;31;0.0;0.0;0.0;29;34;25;0.0;48.0;12;2019-08-01 08:17:34.639365
521;5;12.96452015719159;13.5;5.8837326307646185;32;11.086211575949747;9.0;7.4798236121194135;34;34;25;46.614;56.0;14;2019-08-01 08:17:34.639365
522;6;12.631060069968594;12.730844793713164;5.793641424133111;33;9.04436841400277;7.07379219060225;5.923143073239801;32;34;25;34.765;60.0;15;2019-08-01 08:17:34.639365
523;7;10.714321109234236;11.152416356877325;4.210447688192816;33;8.613892800119379;8.0;4.8228019757571605;33;34;25;33.04;52.0;13;2019-08-01 08:17:34.639365
524;8;11.153327656663793;11.5;4.796065123678773;32;8.231453807816;8.0;4.813645719113312;33;34;25;30.109;56.0;14;2019-08-01 08:17:34.639365
525;9;11.489879709048548;11.0;6.864559065330727;33;9.111938474153252;9.0;5.1564801185595215;32;34;25;38.539;52.0;13;2019-08-01 08:17:34.639365
526;10;13.225084302167893;13.013473545842919;6.412999888453155;33;11.345121271854644;11.0;5.259796556706204;32;34;25;50.084;52.0;13;2019-08-01 08:17:34.639365
527;11;14.973294593957789;14.349775784753362;5.730869938310481;33;17.375027870069413;16.5;6.515440037962125;32;34;25;72.056;44.0;11;2019-08-01 08:17:34.639365
528;12;17.797441811584857;19.023809523809526;5.326649622881377;32;24.131248038780605;23.0;9.090540081947951;33;34;25;90.635;48.0;12;2019-08-01 08:17:34.639365
529;13;17.9867205737339;17.0;5.838448503095428;32;26.464951208642315;27.23777564717162;9.116225113650742;32;34;25;91.469;36.0;9;2019-08-01 08:17:34.639365
530;14;16.433481014325167;15.0;6.350086739997887;31;23.35444068934003;23.0;7.529438051925386;33;34;25;82.764;36.0;9;2019-08-01 08:17:34.639365
531;15;14.673251780955507;14.0;6.581557746178855;31;17.975707004177043;18.0;5.267310744525855;31;34;25;72.833;40.0;10;2019-08-01 08:17:34.639365
532;16;13.0961017474546;11.0;7.662749500021131;32;14.913008503519562;12.95274646198129;7.754840660095637;33;34;25;50.0;44.0;11;2019-08-01 08:17:34.639365
533;17;9.335310885238865;9.0;5.656434036426417;30;13.224043708981164;11.263866502322935;7.6286073167509505;33;34;25;36.183;44.0;11;2019-08-01 08:17:34.639365
534;18;8.976899801022958;8.0;6.052425577162043;33;10.97986828652351;9.487172909184197;6.620910338114208;32;34;25;31.006;44.0;11;2019-08-01 08:17:34.639365
535;19;5.318399048198328;5.0;3.047918466535088;29;10.03338700497655;9.5;5.44869192202317;32;34;25;16.249;32.0;8;2019-08-01 08:17:34.639365
536;20;2.8275862068965516;3.0;1.6051027007026548;29;7.0520023003809325;5.277063512471072;4.89296830543843;32;34;25;0.635;28.0;7;2019-08-01 08:17:34.639365
