,hour,nanmean_demand_bikes,nanmedian_demand_bikes,nanstd_demand_bikes,count_demand_bikes,nanmean_demand_locks,nanmedian_demand_locks,nanstd_demand_locks,count_demand_locks,station_id,capacity,probability_pst,fill_deg_pst,opt_no_bikes,valid_date
136,20,1.0911553699539565,1.0,0.7941694400480409,30,0.0,0.0,0.0,26,183,22,0.0,95.455,21,2019-08-01 11:31:31.868114
137,21,0.5606296005996106,0.0,0.69269229296246,29,0.0,0.0,0.0,29,183,22,0.0,95.455,21,2019-08-01 11:31:31.868114
138,22,0.5517241379310345,0.0,0.6858887298634484,29,0.0,0.0,0.0,28,183,22,0.0,95.455,21,2019-08-01 11:31:31.868114
139,23,0.5161290322580645,0.0,0.6256179740563451,31,0.0,0.0,0.0,30,183,22,0.0,95.455,21,2019-08-01 11:31:31.868114
140,0,0.7586206896551724,0.0,0.9507580589716331,29,0.0,0.0,0.0,31,189,17,0.0,94.118,16,2019-08-01 11:31:31.868114
141,5,0.0,0.0,0.0,26,0.375,0.0,0.6090712125322324,32,189,17,50.0,0.0,0,2019-08-01 11:31:31.868114
142,6,0.0,0.0,0.0,27,0.4666666666666667,0.0,0.5713464637233657,30,189,17,50.0,0.0,0,2019-08-01 11:31:31.868114
143,7,0.25806451612903225,0.0,0.4448027229745693,31,0.6551724137931034,1.0,0.7209052874667634,29,189,17,0.0,35.294,6,2019-08-01 11:31:31.868114
144,8,0.4852685832511955,0.0,0.7719051741808557,31,1.1875,1.0,1.3781123134153823,32,189,17,0.0,29.412,5,2019-08-01 11:31:31.868114
145,9,0.43333333333333335,0.0,0.7279320417946062,30,1.125,1.0,1.288910517677874,32,189,17,0.0,29.412,5,2019-08-01 11:31:31.868114
146,10,1.1666666666666667,1.0,1.3152509484776143,30,1.1333333333333333,1.0,1.4319827906241327,30,189,17,0.0,47.059,8,2019-08-01 11:31:31.868114
147,11,1.4516129032258065,1.0,1.3376274936722692,31,1.1612903225806452,1.0,1.2934907342419941,31,189,17,0.0,47.059,8,2019-08-01 11:31:31.868114
148,12,1.7666666666666666,1.5,1.5241353305225642,30,1.4516129032258065,1.0,1.6091138281140822,31,189,17,0.001,47.059,8,2019-08-01 11:31:31.868114
149,13,2.1285811231799223,2.0,1.586882288871527,29,1.2580645161290323,1.0,1.4368424162141993,31,189,17,0.001,52.941,9,2019-08-01 11:31:31.868114
150,14,3.64654658896336,3.5,1.9390051924816203,30,1.1,1.0,1.1551981469084383,30,189,17,0.005,64.706,11,2019-08-01 11:31:31.868114
151,15,4.27268359029128,4.5,2.623093252261491,30,0.9310344827586207,0.0,1.2798167972341816,29,189,17,0.212,70.588,12,2019-08-01 11:31:31.868114
152,16,3.2776744374622826,3.0,2.5568730612238344,29,0.8620689655172413,0.0,1.355521458201721,29,189,17,0.022,70.588,12,2019-08-01 11:31:31.868114
153,17,2.0543301730808428,1.0,2.1909244617759533,30,1.0666666666666667,1.0,1.1426929274467317,30,189,17,0.002,58.824,10,2019-08-01 11:31:31.868114
154,18,1.2962962962962963,1.0,0.953326758688703,27,0.8666666666666667,0.0,1.0742546199601597,30,189,17,0.0,47.059,8,2019-08-01 11:31:31.868114
155,19,1.4952460764648332,1.0,1.37926729756804,30,0.7666666666666667,0.5,0.8976341829703133,30,189,17,0.0,58.824,10,2019-08-01 11:31:31.868114
156,20,1.454196473183275,1.0,1.484271212901954,31,0.4482758620689655,0.0,0.6858887298634484,29,189,17,0.0,64.706,11,2019-08-01 11:31:31.868114
157,21,1.0083333333333333,1.0,1.1228107690027318,30,0.41935483870967744,0.0,0.7199163631231569,31,189,17,0.0,58.824,10,2019-08-01 11:31:31.868114
158,22,1.0,1.0,0.982607368881035,30,0.0,0.0,0.0,25,189,17,0.0,94.118,16,2019-08-01 11:31:31.868114
159,23,0.8620689655172413,1.0,0.9151166175112984,29,0.0,0.0,0.0,29,189,17,0.0,94.118,16,2019-08-01 11:31:31.868114
160,0,0.0,0.0,0.0,30,0.0,0.0,0.0,34,225,10,0.0,50.0,5,2019-08-01 11:31:31.868114
161,5,0.0,0.0,0.0,28,0.9696969696969697,1.0,0.9837698055454998,33,225,10,50.0,0.0,0,2019-08-01 11:31:31.868114
162,6,0.46576913769331174,0.0,0.7452178177520954,34,1.4814814814814814,1.0,0.7529618628798984,27,225,10,0.0,40.0,4,2019-08-01 11:31:31.868114
163,7,0.8540761426512927,0.0,1.0778170726953584,34,1.8083645232024947,2.0,1.3021145326098968,31,225,10,0.269,30.0,3,2019-08-01 11:31:31.868114
164,8,0.5512918354522911,0.0,0.7454354782606699,30,1.739481982423048,1.0,1.3819552911266302,34,225,10,0.003,30.0,3,2019-08-01 11:31:31.868114
165,9,0.7669452181987001,0.0,1.0069424542008836,30,1.121269813597367,1.0,1.3214673359712572,34,225,10,0.144,30.0,3,2019-08-01 11:31:31.868114
166,10,1.0317737430167597,1.0,1.2052976306558845,32,1.0023261042113039,1.0,1.1298004090656513,31,225,10,0.045,50.0,5,2019-08-01 11:31:31.868114
167,11,1.1905519503800372,1.0,1.2856310880326633,32,0.9333800841514727,1.0,1.089431030922312,31,225,10,0.093,50.0,5,2019-08-01 11:31:31.868114
168,12,1.1330638530253605,1.0,1.1602653812387898,32,0.9821746880570411,1.0,1.1941217082375204,33,225,10,0.486,40.0,4,2019-08-01 11:31:31.868114
169,13,1.8663240233892562,1.845599749451926,1.376895523178107,32,0.5483870967741935,0.0,0.722897396012249,31,225,10,0.009,70.0,7,2019-08-01 11:31:31.868114
170,14,2.697122403463918,3.0,1.423394402536808,31,0.6060606060606061,0.0,0.7044232543095956,33,225,10,0.248,70.0,7,2019-08-01 11:31:31.868114
171,15,3.6851689949338047,3.1908104399507966,1.6589601001756766,30,0.4666666666666667,0.0,0.6288102248298564,30,225,10,0.187,80.0,8,2019-08-01 11:31:31.868114
172,16,3.1847516850276087,3.0,2.54674064633947,27,0.45161290322580644,0.0,0.722897396012249,31,225,10,2.481,80.0,8,2019-08-01 11:31:31.868114
173,17,1.337703307216731,1.0,1.3866091255437714,26,0.625,0.0,0.7513428837969105,32,225,10,0.016,60.0,6,2019-08-01 11:31:31.868114
174,18,0.4159676088055036,0.0,0.731626875999389,26,0.6451612903225806,0.0,0.7978465640616285,31,225,10,0.0,40.0,4,2019-08-01 11:31:31.868114
175,19,0.0,0.0,0.0,23,0.5625,0.0,0.759350316537635,32,225,10,50.0,0.0,0,2019-08-01 11:31:31.868114
176,20,0.0,0.0,0.0,24,0.3870967741935484,0.0,0.615219167172085,31,225,10,50.0,0.0,0,2019-08-01 11:31:31.868114
